accuracy,reaction_time,error_ratio,accuracy_trend,incorrect_responses,n
100.0,0.0015354156494140625,0.0,49.99999999999997,0,16
100.0,0.0016069412231445312,0.0,7.348301093611927e-15,0,16
100.0,0.0015857219696044922,0.0,-1.4069714284236309e-14,0,16
100.0,0.0020906925201416016,0.0,-3.1281240338428062e-15,0,16
100.0,0.002836465835571289,0.0,-4.0737180013531456e-15,0,16
100.0,0.002048492431640625,0.0,-4.537700485687392e-15,0,16
100.0,0.00206756591796875,0.0,5.104044410266141e-17,0,16
100.0,0.0018324851989746094,0.0,-3.1437305998699987e-15,0,16
100.0,0.002416372299194336,0.0,4.246719605479427e-15,0,16
94.11764705882352,0.0023713111877441406,0.058823529411764705,-0.11534025374856077,1,16
94.44444444444444,0.0027151107788085938,0.05555555555555555,-0.18852398200422096,1,16
89.47368421052632,0.002220630645751953,0.10526315789473684,-0.316417117785866,2,16
85.0,0.00235748291015625,0.15,-0.46898593232306557,3,16
80.95238095238095,0.0023865699768066406,0.19047619047619047,-0.6284022380882245,4,16
77.27272727272727,0.002565145492553711,0.22727272727272727,-0.7843028405391036,5,16
73.91304347826086,0.003931760787963867,0.2608695652173913,-0.930916135381387,6,16
70.83333333333334,0.002641916275024414,0.2916666666666667,-1.0652963125054018,7,16
100.0,0.001421213150024414,0.0,49.99999999999997,0,17
100.0,0.0018491744995117188,0.0,7.348301093611927e-15,0,17
100.0,0.002541065216064453,0.0,8.117824768953706e-16,0,17
100.0,0.002397298812866211,0.0,-5.096090972130489e-15,0,17
100.0,0.002137422561645508,0.0,3.5150047140709783e-15,0,17
100.0,0.0023124217987060547,0.0,-1.9667200256670065e-15,0,17
100.0,0.002445697784423828,0.0,-9.623577397727315e-16,0,17
100.0,0.00516510009765625,0.0,-1.625071434353413e-15,0,17
100.0,0.0022513866424560547,0.0,1.4137431835813153e-16,0,18
